YEAR,CERT,NAMEFULL,ADDRESBR,BRNUM,UNINUMBR,STALPBR,ADDRESS,ASSET,BKCLASS,CALL,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,ZIP,BKMO,BRCENM,BRSERTYP,CBSA_DIV_NAMB,CITY2BR,CITYBR,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DEPSUMBR,DIVISIONB,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NECNAMB,NECTABR,PLACENUM,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,STCNTYBR,STNAMEBR,STNUMBR,USA,ZIPBR,Income Indicator,Tract Income Category,Tract Race Category,Minority Percentage
2025,33188,Shinhan Bank America,3000 W Olympic Blvd,2,39611,CA,475 Park Ave S,1946484,NM,CALL,STATE,State Agency,STATE,New York,21,"Korea, South",false,1616462,0,0,,2,New York,2,New York,DIF,,,CB,,,FDIC,1494914,COMMERCIAL LENDING,4,NY,36061,New York,false,10016,false,,11,"Los Angeles-Long Beach-Glendale, CA",Los Angeles,Los Angeles,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",140045,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",California Regional OfficeOlympic Branch,,,,"03/24/2003","100.0",10/03/1988,34.0523580201214,-118.300334968744,EXACT,6037,California,6,true,90006,"1",low income,majority-minorty,"95.54"
2025,33188,Shinhan Bank America,5450 Beach Blvd,4,445687,CA,475 Park Ave S,1946484,NM,CALL,STATE,State Agency,STATE,New York,21,"Korea, South",false,1616462,0,0,,2,New York,2,New York,DIF,,,CB,,,FDIC,1494914,COMMERCIAL LENDING,4,NY,36061,New York,false,10016,false,,11,"Anaheim-Santa Ana-Irvine, CA",Buena Park,Buena Park,United States,Orange,59,,348,"Los Angeles-Long Beach, CA",106911,11244,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Buena Park Branch,,,,,"100.0","08/04/2005",33.8815940096423,-117.996090994215,EXACT,6059,California,6,true,90621,"2",moderate income,majority-minorty,"81.6"
2025,33306,CIBC Bank USA,101 Second Street,38,655275,CA,120 S La Salle St,60355912,SM,CALL,STATE,State Agency,STATE,Chicago,13,Canada,false,47592603,0,10042,,9,Chicago,7,Chicago,DIF,,,CB,,,FED,1842065,COMMERCIAL LENDING,4,IL,17031,Illinois,false,60603,false,,11,"San Francisco-San Mateo-Redwood City, CA",San Francisco,San Francisco,United States,San Francisco,75,,488,"San Jose-San Francisco-Oakland, CA",16966,41884,true,false,41860,"San Francisco-Oakland-Fremont, CA",101 Second Street Branch,,,,,"100.0","03/30/2023",37.788081992319,-122.399154017865,EXACT,6075,California,6,true,94105,"4",upper income,majority-white,"46.82"
2025,33457,Oak Valley Community Bank,125 N 3rd Ave,0,47142,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,1711617,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,true,"M,N",11,,Oakdale,Oakdale,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",0,0,true,false,33700,"Modesto, CA",Oak Valley Community Bank,,,,,"100.0","05/28/1991",37.7668339934977,-120.847706990711,EXACT,6099,California,6,true,95361,"4",upper income,majority-white,"32.12"
2025,33457,Oak Valley Community Bank,125n. Third Avenue,1,357368,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Oakdale,Oakdale,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",215367,0,true,false,33700,"Modesto, CA",Oakdale Branch,,,,,US_Streets,"05/28/1991",37.766601,-120.848053,T,6099,California,6,true,95361,"4",upper income,majority-white,"32.12"
2025,33457,Oak Valley Community Bank,20 Plaza,10,453332,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Patterson,Patterson,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",63103,0,true,false,33700,"Modesto, CA",Patterson Branch,,,,,"100.0",11/17/2005,37.4711909831833,-121.129716961239,EXACT,6099,California,6,true,95363,"2",moderate income,majority-minorty,"79.61"
2025,33457,Oak Valley Community Bank,1910 Mchenry Ave,11,453333,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Escalon,Escalon,United States,San Joaquin,77,,488,"San Jose-San Francisco-Oakland, CA",114528,0,true,false,44700,"Stockton-Lodi, CA",Escalon Branch,,,,,"100.0","04/03/2006",37.7918869991749,-120.996181006076,EXACT,6077,California,6,true,95320,"4",upper income,majority-white,"40.03"
2025,33457,Oak Valley Community Bank,"150 N Wilma Ave, Ste 2",12,453334,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Ripon,Ripon,United States,San Joaquin,77,,488,"San Jose-San Francisco-Oakland, CA",109460,0,true,false,44700,"Stockton-Lodi, CA",Ripon Branch,,,,,"100.0",12/27/2005,37.7402900148836,-121.134534963004,EXACT,6077,California,6,true,95366,"3",middle income,majority-white,"34.27"
2025,33457,Oak Valley Community Bank,2935 W March Ln,14,478508,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Stockton,Stockton,United States,San Joaquin,77,,488,"San Jose-San Francisco-Oakland, CA",79924,0,true,false,44700,"Stockton-Lodi, CA",Stockton Branch,,,,,"100.0",12/18/2007,37.9847200158912,-121.348626958834,EXACT,6077,California,6,true,95219,"4",upper income,majority-minorty,"63.19"
2025,33457,Oak Valley Community Bank,3508 Mchenry Ave,15,520818,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Modesto,Modesto,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",75476,0,true,false,33700,"Modesto, CA",Mchenry Branch,,,,,"100.0","06/13/2011",37.6896250144065,-120.993746985213,EXACT,6099,California,6,true,95356,"3",middle income,majority-minorty,"54.98"
2025,33457,Oak Valley Community Bank,191 W North St,16,531784,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Manteca,Manteca,United States,San Joaquin,77,,488,"San Jose-San Francisco-Oakland, CA",71283,0,true,false,44700,"Stockton-Lodi, CA",Manteca Branch,,,,,"100.0","08/22/2011",37.8010849861247,-121.217715704476,StreetAddress,6077,California,6,true,95336,"2",moderate income,majority-minorty,"71.19"
